| Namn | URL | Stad | Kategori | Insamlad | Notis |
| Varbergs IF | https://www.varbergsif.se | Varberg | idrott | 2026-04-04 | Fotbollsklubb |
| Halmstad Konserthus | https://www.halmstad.se/konserthus | Halmstad | konserthus | 2026-04-04 | Konserthus |
| Halmstad Stadsteatern | https://www.halmstad.se/stadsteatern | Halmstad | teater | 2026-04-04 | Kommunal teater |
| Halmstads BK | https://www.hbk.se | Halmstad | idrott | 2026-04-04 | Fotbollsklubb |
| Halland | https://www.halland.se | Halmstad | turism | 2026-04-04 | Regionturism |
| Skövde Konserthus | https://www.skovde.se | Skövde | konserthus | 2026-04-04 | Konserthus |
| Skövde Stadsteatern | https://www.skovde.se | Skövde | teater | 2026-04-04 | Kommunal teater |
| Skövde IF | https://www.skovdeif.se | Skövde | idrott | 2026-04-04 | Fotbollsklubb |
| Trollhättan | https://www.trollhattan.se | Trollhättan | kommunal | 2026-04-04 | Kommun |
| Trollhättans IF | https://www.trollhattanif.se | Trollhättan | idrott | 2026-04-04 | Fotbollsklubb |
| Uddevalla kommun | https://www.uddevalla.se | Uddevalla | kommunal | 2026-04-04 | Kommun |
| Sundsvall | https://www.sundsvall.se | Sundsvall | kommunal | 2026-04-04 | Kommun |
| Sundsvall Musik | https://www.musiksundsvall.se | Sundsvall | konserthus | 2026-04-04 | Musik och konserter |
| Östersund | https://www.ostersund.se | Östersund | kommunal | 2026-04-04 | Kommun |
| Östersunds FK | https://www.ofksverige.se | Östersund | idrott | 2026-04-04 | Fotbollsklubb |
| Mora kommun | https://www.mora.se | Mora | kommunal | 2026-04-04 | Kommun |
| Mora IK | https://www.moraik.se | Mora | idrott | 2026-04-04 | Ishockey |
| Örnsköldsvik | https://www.ornskoldsvik.se | Örnsköldsvik | kommunal | 2026-04-04 | Kommun |
| Nyköping | https://www.nykoping.se | Nyköping | kommunal | 2026-04-04 | Kommun |
| Nyköpings BIS | https://www.nbis.se | Nyköping | idrott | 2026-04-04 | Fotbollsklubb |
| Eskilstuna | https://www.eskilstuna.se | Eskilstuna | kommunal | 2026-04-04 | Kommun |
| Eskilstuna United | https://www.eskilstunaunited.se | Eskilstuna | idrott | 2026-04-04 | Fotbollsklubb |
| Katrineholm | https://www.katrineholm.se | Katrineholm | kommunal | 2026-04-04 | Kommun |
| Karlskoga | https://www.karlskoga.se | Karlskoga | kommunal | 2026-04-04 | Kommun |
| Stenungsund | https://www.stenungsund.se | Stenungsund | kommunal | 2026-04-04 | Kommun |
| Lysekil | https://www.lysekil.se | Lysekil | kommunal | 2026-04-04 | Kommun |
| Strömstad | https://www.stromstad.se | Strömstad | kommunal | 2026-04-04 | Kommun |
| Mariestad | https://www.mariestad.se | Mariestad | kommunal | 2026-04-04 | Kommun |
| Trelleborg | https://www.trelleborg.se | Trelleborg | kommunal | 2026-04-04 | Kommun |
| Trelleborgs FF | https://www.trelleborgsff.se | Trelleborg | idrott | 2026-04-04 | Fotbollsklubb |
| Ystad | https://www.ystad.se | Ystad | kommunal | 2026-04-04 | Kommun |
| Karlskrona | https://www.karlskrona.se | Karlskrona | kommunal | 2026-04-04 | Kommun |
| Karlskrona HF | https://www.karlskronahf.se | Karlskrona | idrott | 2026-04-04 | Ishockey |
